account_index,ml_score,anomaly_score,typology_label,risk_score,risk_tier,true_label
0,4.981180626541772e-07,8.2307590498379,Exploited Mule,4.984614231064232,Low,0
1,0.0008974080103505745,13.580168757977146,Exploited Mule,5.787698369704335,Low,0
2,2.0030024940819636e-05,3.8205710081854702,Exploited Mule,4.323100673746526,Low,0
3,1.4359239296497418e-06,16.489609120000235,Exploited Mule,6.223442444942982,Low,0
4,6.009632503408193e-07,9.810250473347379,Exploited Mule,5.221538021724545,Low,0
5,2.0732728839150044e-05,7.1117033079564695,Exploited Mule,4.816771045740101,Low,0
6,3.125396372946718e-06,5.4457368126434496,Exploited Mule,4.566862865943797,Low,0
7,1.4233748037568691e-05,17.419980508189678,Exploited Mule,6.36300775153948,Low,0
8,0.00025152705007849856,10.27702115212243,Exploited Mule,5.2917418181059235,Low,0
9,6.06475726601022e-06,13.655437533591927,Exploited Mule,5.798320178606739,Low,0
10,3.115396544064588e-07,40.46108904838688,Exploited Mule,9.819163590912773,Low,0
11,8.539670863651424e-05,6.346368623706348,Exploited Mule,4.70201934108743,Low,0
12,2.4936605139869752e-06,27.657655839454044,Exploited Mule,7.898650246163491,Low,0
13,5.087936869250222e-07,9.976729184608095,Exploited Mule,5.24650975928648,Low,0
14,0.00010434973200830635,16.24579655345798,Exploited Mule,6.1869477453177035,Low,0
15,6.633409422000889e-07,23.101933681904704,Exploited Mule,7.215290549791413,Low,0
16,2.336276678482245e-06,17.554969006990955,Exploited Mule,6.383247103256153,Low,0
17,5.995909685268263e-07,6.091715819494889,Exploited Mule,4.66375782261746,Low,0
18,2.0019855608294963e-07,20.723037384510864,Exploited Mule,6.858455757825547,Low,0
19,6.0142887286763295e-06,13.37773229668396,Exploited Mule,5.75666435521914,Low,0
20,1.3705721505060065e-06,22.843157491589928,Exploited Mule,7.176474651667602,Low,0
21,6.326777976398213e-07,20.357889419286078,Exploited Mule,6.80368388740126,Low,0
22,5.36964556457202e-06,9.593999124584242,Exploited Mule,5.18910389592181,Low,0
23,4.919666797890176e-05,5.973335089513563,Exploited Mule,4.646037160928019,Low,0
24,5.13487048073201e-07,13.867309681799611,Exploited Mule,5.830096837385228,Low,0
25,1.6508666737652734e-05,12.056113267221749,Exploited Mule,5.5584293715833155,Low,0
26,8.086275852627753e-05,16.443899694277334,Exploited Mule,6.216645601210495,Low,0
27,1.496537217602984e-05,28.121275191269966,Exploited Mule,7.9682025027196275,Low,0
28,7.46397418705085e-07,11.186744195415184,Exploited Mule,5.428012189110342,Low,0
29,2.9128649128771506e-07,27.6125760349684,Exploited Mule,7.891886623710128,Low,0
30,8.42214328342553e-06,12.051814205450333,Exploited Mule,5.557778447425013,Low,0
31,2.922729423913316e-07,13.658540463685165,Exploited Mule,5.798781288757482,Low,0
32,6.798853481685767e-07,16.267797190511793,Exploited Mule,6.19017008849078,Low,0
33,2.7666690227056278e-06,17.724070563293346,Exploited Mule,6.408612659495769,Low,0
34,3.630790378336462e-06,7.287414549495385,Exploited Mule,4.843114905517092,Low,0
35,1.2041031141171848e-06,8.373661986636806,Exploited Mule,5.006050201072857,Low,0
36,3.2658525211030163e-07,5.299912634828688,Exploited Mule,4.544987140163243,Low,0
37,5.827943362264379e-06,15.257040150498971,Exploited Mule,6.038560393532368,Low,0
38,6.27745856247696e-05,7.02230791156236,Exploited Mule,4.803393267673573,Low,0
39,1.845321444120713e-06,25.792859212036266,Exploited Mule,7.618930265796523,Low,0
40,1.9793088699673466e-05,18.942573509802457,Exploited Mule,6.5914008712868934,Low,0
41,1.2896632453436535e-07,19.595718885083258,Exploited Mule,6.689357929487232,Low,0
42,7.018454074446583e-07,14.61057534622344,Exploited Mule,5.941586828317572,Low,0
43,1.8911974519664899e-07,10.187538068646813,Exploited Mule,5.278130852136831,Low,0
44,5.598906866590552e-06,22.156841409127267,Exploited Mule,7.073530410549241,Low,0
45,5.69454166824811e-07,17.103708099984786,Exploited Mule,6.315556642088343,Low,0
46,4.5623067103805063e-07,33.642362117733235,Exploited Mule,8.79635465983299,Low,0
47,2.341225503521629e-06,23.64706933108483,Exploited Mule,7.297062155581852,Low,0
48,3.5787631606888835e-07,38.92899268719416,Exploited Mule,9.589349171486361,Low,0
49,1.3347545923617867e-07,37.25737523778163,Exploited Mule,9.338606385773838,Low,0
50,1.4584751841999027e-07,12.627439586521263,Exploited Mule,5.644116047363829,Low,0
51,8.678072063911491e-06,54.359936099431565,Exploited Mule,11.903996923468782,Low,0
52,1.7682835894906366e-06,19.26571278556516,Exploited Mule,6.639858244047467,Low,0
53,1.6286642208989973e-05,22.15551791096666,Exploited Mule,7.073339901626656,Low,0
54,4.617312875811436e-05,33.202376742138895,Exploited Mule,8.730391141167404,Low,0
55,1.0224837762899417e-06,22.976667970540767,Exploited Mule,7.196500962443947,Low,0
56,9.789246635029984e-06,13.736257016836783,Exploited Mule,5.810445894460495,Low,0
57,6.682734455769033e-07,31.08286654879115,Exploited Mule,8.412430483523757,Low,0
58,4.754233667716904e-05,17.63245328080427,Exploited Mule,6.394903648873148,Low,0
59,1.5896587891245023e-07,13.245510082665822,Exploited Mule,5.736826631624282,Low,0
60,2.2645877492973465e-06,18.14212626215357,Exploited Mule,6.4713206377638475,Low,0
61,6.317489137015571e-06,12.137711441763978,Exploited Mule,5.57066145438145,Low,0
62,2.3854081527496246e-06,22.036890010686463,Exploited Mule,7.055535290659084,Low,0
63,2.5415761687205403e-06,33.642932587046985,Exploited Mule,8.796441794239175,Low,0
64,2.271192813654398e-06,13.271925470705247,Exploited Mule,5.740790524000397,Low,0
65,2.0121015193610655e-05,11.02173912085905,Exploited Mule,5.403275958890253,Low,0
66,0.0002823965085154462,3.9143784344066366,Exploited Mule,4.337368562542382,Low,0
67,0.0007497873815972447,20.588266470477407,Exploited Mule,6.838802311107809,Low,0
68,1.373977996524227e-05,12.73867995357927,Exploited Mule,5.660812297871865,Low,0
69,9.824072331435098e-07,8.266089811863331,Exploited Mule,4.989914208584925,Low,0
70,6.615290363677299e-05,45.762041667755604,Exploited Mule,10.61435586484107,Low,0
71,9.136869715770404e-07,30.86011228689983,Exploited Mule,8.379017528300203,Low,0
72,3.9795491196606295e-06,4.2930026286629195,Exploited Mule,4.393953378961278,Low,0
73,1.4470478221945554e-05,17.480752257004305,Exploited Mule,6.372123691409312,Low,0
74,1.1780480638818028e-05,20.070283064991894,Exploited Mule,6.760551295109264,Low,0
75,1.1569140285973031e-05,11.441726294195625,Exploited Mule,5.466267620984558,Low,0
76,2.908675382132278e-06,18.1031969679268,Exploited Mule,6.4654817266955575,Low,0
77,7.481581374776798e-06,17.027754882836312,Exploited Mule,6.304168843611478,Low,0
78,4.448738610152494e-06,3.6892808263586967,Exploited Mule,4.303395460507763,Low,0
79,2.322085916133062e-07,11.809539797861191,Exploited Mule,5.521431143835622,Low,0
80,3.7441926999859317e-05,26.092073788543843,Exploited Mule,7.663839149726827,Low,0
81,3.183626621003584e-06,14.164234537602491,Exploited Mule,5.87463756836034,Low,0
82,1.1169843781334078e-06,16.82862090408084,Exploited Mule,6.27429397335041,Low,0
83,5.282802340155195e-07,8.92297621846524,Exploited Mule,5.088446828979962,Low,0
84,4.868378221339152e-06,17.65596364952867,Exploited Mule,6.398398198712966,Low,0
85,5.233701037142448e-06,31.83656757766092,Exploited Mule,8.525489061924917,Low,0
86,5.27837212660705e-05,14.738193502523146,Exploited Mule,5.960768613169422,Low,0
87,8.859566439829274e-07,17.504804277936,Exploited Mule,6.3757213061578835,Low,0
88,7.673904529648746e-07,17.42585318964695,Exploited Mule,6.363878553989883,Low,0
